label_a,label_b,a_to_b,b_to_a,total
43_า,55_ๅ,46,28,74
50_เ,58_่,4,7,11
43_า,48_ุ,5,2,7
16_ต,65_๓,5,1,6
57_็,70_๘,3,3,6
1_ข,2_ฃ,3,2,5
7_ช,8_ซ,1,4,5
15_ด,16_ต,0,4,4
15_ด,3_ค,1,3,4
2_ฃ,8_ซ,1,3,4
52_โ,54_ไ,3,1,4
42_ั,59_้,1,2,3
45_ี,46_ึ,2,1,3
45_ี,47_ื,2,1,3
0_ก,27_ภ,1,1,2
14_ณ,9_ญ,0,2,2
17_ถ,27_ภ,2,0,2
41_ฯ,56_ๆ,1,1,2
46_ึ,47_ื,1,1,2
53_ใ,54_ไ,1,1,2
16_ต,3_ค,1,0,1
17_ถ,18_ท,0,1,1
17_ถ,32_ล,0,1,1
18_ท,27_ภ,1,0,1
1_ข,41_ฯ,0,1,1
21_บ,29_ย,1,0,1
21_บ,35_ษ,0,1,1
21_บ,51_แ,0,1,1
25_พ,26_ฟ,1,0,1
29_ย,35_ษ,1,0,1
32_ล,36_ส,1,0,1
32_ล,39_อ,0,1,1
33_ว,43_า,1,0,1
39_อ,40_ฮ,1,0,1
42_ั,60_๊,1,0,1
42_ั,62_๐,0,1,1
43_า,53_ใ,1,0,1
44_ิ,45_ี,1,0,1
44_ิ,47_ื,1,0,1
48_ุ,55_ๅ,1,0,1
53_ใ,55_ๅ,0,1,1
53_ใ,56_ๆ,1,0,1
60_๊,69_๗,0,1,1
66_๔,67_๕,1,0,1
